Date,Open,ASKHI,BIDLO,Close,PRC,Volume,RET,SHROUT,TP,vwretx
7/8/2021,87.860001,90.339996,87.449997,89.739998,89.739998,45673500,-0.008835907,1230000000,4073010348,-0.141229691
7/9/2021,90.040001,91.260002,88.529999,90.900002,90.900002,35278400,0.012926276,1230000000,3183170067,-0.218472384
7/12/2021,91.220001,91.900002,89.650002,90.809998,90.809998,28526600,-0.000990143,1230000000,2589834944,-0.186397557
7/13/2021,90.480003,91.410004,89.830002,90.260002,90.260002,30367600,-0.006056558,1230000000,2748267881,0.061174917
7/14/2021,90.760002,91.400002,88.940002,89.050003,89.050003,28108500,-0.013405705,1230000000,2524049671,-0.081585282
7/15/2021,89.779999,89.779999,86.18,86.93,86.93,38944700,-0.023806883,1230000000,3412724048,0.352082761
7/16/2021,87.32,88.029999,85.68,85.889999,85.889999,35860700,-0.01196366,1230000000,3103145883,-0.090712921
7/19/2021,84.989998,87.230003,84.239998,86.580002,86.580002,39244800,0.008033566,1230000000,3375706919,0.087833781
7/20/2021,87.089996,87.769997,85.169998,87.110001,87.110001,28089000,0.006121494,1230000000,2434848113,-0.278714601
7/21/2021,87.25,89.489998,86.900002,89.410004,89.410004,29469900,0.026403432,1230000000,2611033179,0.072359777
7/22/2021,89.400002,91.360001,89.080002,91.209999,91.209999,33730100,0.020131919,1230000000,3054260577,0.16975173
7/23/2021,91.349998,92.370003,90.190002,92.150002,92.150002,31708900,0.010305921,1230000000,2903584047,-0.049333227
7/26/2021,92.010002,92.75,91.120003,91.82,91.82,27668500,-0.003581139,1230000000,2542642949,-0.124308817
7/27/2021,92.940002,94.099998,89.099998,91.029999,91.029999,69427000,-0.008603801,1230000000,6346321954,1.495954832
7/28/2021,93.440002,98.709999,89.650002,97.93,97.93,140561000,0.075799199,1230000000,13413736277,1.113623666
7/29/2021,96.580002,105.739998,96.580002,102.949997,102.949997,164091800,0.051261074,1230000000,16697434431,0.244801157
7/30/2021,101.599998,106.970001,101.379997,106.190002,106.190002,125632000,0.031471638,1230000000,13172096427,-0.211130519
8/2/2021,105.93,110.330002,103.830002,108.629997,108.629997,115581900,0.022977634,1230000000,12436227206,-0.055865763
8/3/2021,108.150002,114.849998,107.660004,112.559998,112.559998,157723100,0.036177862,1230000000,17616093039,0.416514249
8/4/2021,114.360001,122.489998,114.160004,118.769997,118.769997,225368700,0.055170568,1230000000,26700181043,0.515669847
8/5/2021,116.629997,117.68,111.589996,112.349998,112.349998,137860900,-0.054054047,1230000000,15698679944,-0.412038446
8/6/2021,110.550003,116.260002,109.699997,110.110001,110.110001,143899000,-0.019937668,1230000000,16120045643,0.026840836
8/9/2021,111.309998,112.330002,107.059998,107.580002,107.580002,115749900,-0.022977014,1230000000,12615581678,-0.217397893
8/10/2021,107.900002,109.169998,104.360001,106.480003,106.480003,113012300,-0.010224939,1230000000,12055022116,-0.044433905
8/11/2021,107.599998,109.790001,105.620003,107.68,107.68,91788300,0.011269694,1230000000,9885294071,-0.179985406
8/12/2021,107.389999,108.440002,105.860001,106.5,106.5,60578700,-0.010958395,1230000000,6477882381,-0.344695025
8/13/2021,107.169998,111.709999,106.57,110.550003,110.550003,100135700,0.038028197,1230000000,10975874144,0.694361444
8/16/2021,110.199997,111.580002,105.870003,107.480003,107.480003,73325400,-0.027770239,1230000000,7941874270,-0.276424441
8/17/2021,106.639999,108.699997,105.349998,107.559998,107.559998,74053900,0.000744278,1230000000,7938824754,-0.000383979
8/18/2021,107.349998,108.07,103.269997,103.440002,103.440002,79387900,-0.038304166,1230000000,8329907694,0.04926207
8/19/2021,103.32,106.18,101.980003,103.699997,103.699997,71117500,0.002513486,1230000000,7392901183,-0.112487022
8/20/2021,104.32,105.980003,103.989998,104.650002,104.650002,55227600,0.00916109,1230000000,5791902559,-0.21655891
8/23/2021,105.300003,109.019997,104.860001,108.769997,108.769997,68835300,0.039369278,1230000000,7403236400,0.278204584
8/24/2021,109.449997,109.610001,107.279999,107.650002,107.650002,51239300,-0.010296911,1230000000,5543067508,-0.251264284
8/25/2021,108.129997,109.910004,107.449997,108.300003,108.300003,45485500,0.006038096,1230000000,4937602704,-0.109229195
8/26/2021,108.57,109.230003,106.839996,107.269997,107.269997,51442500,-0.009510674,1230000000,5544472581,0.122907798
8/27/2021,108.010002,111.779999,107.800003,111.400002,111.400002,61030000,0.038501027,1230000000,6733236548,0.214405239
